OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
17200;A000743037;A000288755;Responsabile dell'attività di intermediazione;
17201;B000717843;B000127422;Amministratore Delegato;
17202;A000717490;A000718528;Responsabile dell'attività di intermediazione;
17203;B000717923;B000127422;Responsabile dell'attività di intermediazione;
17204;A000229612;A000429271;Responsabile dell'attività di intermediazione;
17205;A000719143;A000523751;Responsabile dell'attività di intermediazione;
17206;B000161568;B000056918;Responsabile dell'attività di intermediazione;
17207;B000717907;B000724254;Responsabile dell'attività di intermediazione;
17208;B000655124;B000218639;Responsabile dell'attività di intermediazione;
17209;B000013307;B000083306;Responsabile dell'attività di intermediazione;
17210;A000006935;A000676208;Responsabile dell'attività di intermediazione;
17211;B000509739;B000555761;Responsabile dell'attività di intermediazione;
17212;B000305520;B000117871;Responsabile dell'attività di intermediazione;
17213;A000003613;A000574622;Responsabile dell'attività di intermediazione;
17214;B000719404;B000480264;Rappresentante Legale;
17215;B000746409;B000179004;Responsabile dell'attività di intermediazione;
17216;A000199953;A000650910;Responsabile dell'attività di intermediazione;
17217;B000311531;B000757923;Responsabile dell'attività di intermediazione;
17218;A000450041;A000723686;Responsabile dell'attività di intermediazione;
17219;A000063550;A000762806;Responsabile dell'attività di intermediazione;
17220;A000055758;A000573507;Responsabile dell'attività di intermediazione;
17221;B000659741;B000722520;Rappresentante Legale;
17222;B000013994;B000065009;Responsabile dell'attività di intermediazione;
17223;B000722090;B000190757;Responsabile dell'attività di intermediazione;
17224;A000183629;A000708181;Responsabile dell'attività di intermediazione;
17225;B000508506;B000362679;Responsabile dell'attività di intermediazione;
17226;A000722133;A000606969;Responsabile dell'attività di intermediazione;
17227;A000564467;A000758887;Responsabile dell'attività di intermediazione;
17228;B000060824;B000127422;Responsabile dell'attività di intermediazione;
17229;B000658963;B000729038;Rappresentante Legale;
17230;A000005646;A000533897;Responsabile dell'attività di intermediazione;
17231;A000722532;A000432619;Responsabile dell'attività di intermediazione;
17232;A000736863;A000737943;Responsabile dell'attività di intermediazione;
17233;A000082853;A000714899;Responsabile dell'attività di intermediazione;
17234;A000459689;A000326188;Responsabile dell'attività di intermediazione;
17235;A000004276;A000455479;Responsabile dell'attività di intermediazione;
17236;B000518625;B000722538;Responsabile dell'attività di intermediazione;
17237;B000518625;B000722538;Rappresentante Legale;
17238;A000724643;A000571454;Responsabile dell'attività di intermediazione;
17239;A000552512;A000179155;Responsabile dell'attività di intermediazione;
17240;A000245453;A000602054;Responsabile dell'attività di intermediazione;
17241;A000533577;A000130863;Responsabile dell'attività di intermediazione;
17242;A000461698;A000570006;Responsabile dell'attività di intermediazione;
17243;A000514420;A000550323;Responsabile dell'attività di intermediazione;
17244;B000718049;B000773545;Rappresentante Legale;
17245;A000563319;A000728481;Responsabile dell'attività di intermediazione;
17246;A000478267;A000728810;Responsabile dell'attività di intermediazione;
17247;A000565349;A000575043;Responsabile dell'attività di intermediazione;
17248;A000108670;A000716915;Responsabile dell'attività di intermediazione;
17249;B000725680;B000061114;Rappresentante Legale;
17250;A000167671;A000178833;Responsabile dell'attività di intermediazione;
17251;A000635284;A000624790;Responsabile dell'attività di intermediazione;
17252;A000728992;A000770917;Responsabile dell'attività di intermediazione;
17253;A000728350;A000171867;Responsabile dell'attività di intermediazione;
17254;A000599232;A000699635;Responsabile dell'attività di intermediazione;
17255;A000536115;A000575720;Responsabile dell'attività di intermediazione;
17256;A000536115;A000744630;Responsabile dell'attività di intermediazione;
17257;B000456923;B000747015;Rappresentante Legale;
17258;B000098347;B000550376;Amministratore Delegato;
17259;B000628126;B000736069;Rappresentante Legale;
17260;A000158822;A000190075;Responsabile dell'attività di intermediazione;
17261;A000521564;A000012630;Responsabile dell'attività di intermediazione;
17262;A000731834;A000732292;Responsabile dell'attività di intermediazione;
17263;A000055997;A000076283;Responsabile dell'attività di intermediazione;
17264;B000174030;B000540999;Responsabile dell'attività di intermediazione;
17265;B000500418;B000014336;Responsabile dell'attività di intermediazione;
17266;B000731688;B000749510;Responsabile dell'attività di intermediazione;
17267;B000066857;B000066862;Responsabile dell'attività di intermediazione;
17268;B000156879;B000775494;Responsabile dell'attività di intermediazione;
17269;A000067442;A000589921;Responsabile dell'attività di intermediazione;
17270;B000320378;B000645237;Rappresentante Legale;
17271;B000068338;B000606074;Responsabile dell'attività di intermediazione;
17272;B000114129;B000174067;Rappresentante Legale;
17273;A000243118;A000577072;Responsabile dell'attività di intermediazione;
17274;A000049526;A000580696;Responsabile dell'attività di intermediazione;
17275;A000071801;A000808879;Responsabile dell'attività di intermediazione;
17276;A000139351;A000400783;Responsabile dell'attività di intermediazione;
17277;A000009457;A000012958;Responsabile dell'attività di intermediazione;
17278;A000734899;A000011685;Responsabile dell'attività di intermediazione;
17279;A000004291;A000317603;Responsabile dell'attività di intermediazione;
17280;A000146807;A000538621;Responsabile dell'attività di intermediazione;
17281;A000723561;A000737392;Responsabile dell'attività di intermediazione;
17282;B000627567;B000735612;Rappresentante Legale;
17283;B000696196;B000687174;Rappresentante Legale;
17284;A000183009;A000565998;Responsabile dell'attività di intermediazione;
17285;A000050904;A000746638;Responsabile dell'attività di intermediazione;
17286;B000559066;B000559006;Amministratore Delegato;
17287;A000498801;A000104165;Responsabile dell'attività di intermediazione;
17288;A000156485;A000438618;Responsabile dell'attività di intermediazione;
17289;A000167145;A000705168;Responsabile dell'attività di intermediazione;
17290;A000737393;A000537051;Responsabile dell'attività di intermediazione;
17291;A000076227;A000735131;Responsabile dell'attività di intermediazione;
17292;A000080270;A000708437;Responsabile dell'attività di intermediazione;
17293;A000498993;A000746157;Responsabile dell'attività di intermediazione;
17294;B000162987;B000411815;Responsabile dell'attività di intermediazione;
17295;A000412719;A000739327;Responsabile dell'attività di intermediazione;
17296;A000076231;A000735131;Responsabile dell'attività di intermediazione;
17297;A000480443;A000129282;Responsabile dell'attività di intermediazione;
17298;B000100209;B000117871;Responsabile dell'attività di intermediazione;
17299;B000740191;B000761305;Responsabile dell'attività di intermediazione;
17300;B000203273;B000741402;Rappresentante Legale;
17301;B000651422;B000710540;Responsabile dell'attività di intermediazione;
17302;B000740292;B000550010;Responsabile dell'attività di intermediazione;
17303;A000541841;A000322604;Responsabile dell'attività di intermediazione;
17304;A000056925;A000640185;Responsabile dell'attività di intermediazione;
17305;A000158453;A000732142;Responsabile dell'attività di intermediazione;
17306;A000008377;A000586691;Responsabile dell'attività di intermediazione;
17307;B000013700;B000049811;Responsabile dell'attività di intermediazione;
17308;A000169348;A000498752;Responsabile dell'attività di intermediazione;
17309;A000744111;A000793226;Responsabile dell'attività di intermediazione;
17310;A000504066;A000516453;Responsabile dell'attività di intermediazione;
17311;A000598445;A000057520;Responsabile dell'attività di intermediazione;
17312;A000064474;A000671024;Responsabile dell'attività di intermediazione;
17313;A000002315;A000582985;Responsabile dell'attività di intermediazione;
17314;A000008215;A000331983;Responsabile dell'attività di intermediazione;
17315;A000744352;A000645281;Responsabile dell'attività di intermediazione;
17316;B000086093;B000128398;Responsabile dell'attività di intermediazione;
17317;A000006905;A000485015;Responsabile dell'attività di intermediazione;
17318;A000197744;A000662805;Responsabile dell'attività di intermediazione;
17319;B000415599;B000744537;Responsabile dell'attività di intermediazione;
17320;B000480056;B000305591;Responsabile dell'attività di intermediazione;
17321;B000744243;B000783646;Responsabile dell'attività di intermediazione;
17322;B000666216;B000065009;Responsabile dell'attività di intermediazione;
17323;A000615910;A000347277;Responsabile dell'attività di intermediazione;
17324;A000029349;A000011999;Responsabile dell'attività di intermediazione;
17325;A000097985;A000737211;Responsabile dell'attività di intermediazione;
17326;B000099060;B000673774;Rappresentante Legale;
17327;A000569629;A000128487;Responsabile dell'attività di intermediazione;
17328;B000008732;B000763629;Responsabile dell'attività di intermediazione;
17329;B000008732;B000763629;Rappresentante Legale;
17330;A000377286;A000744948;Responsabile dell'attività di intermediazione;
17331;B000746311;B000059359;Responsabile dell'attività di intermediazione;
17332;A000070947;A000804763;Responsabile dell'attività di intermediazione;
17333;A000418902;A000747278;Responsabile dell'attività di intermediazione;
17334;A000517440;A000744430;Responsabile dell'attività di intermediazione;
17335;A000744893;A000574617;Responsabile dell'attività di intermediazione;
17336;A000057452;A000499153;Responsabile dell'attività di intermediazione;
17337;A000119887;A000141026;Responsabile dell'attività di intermediazione;
17338;A000128367;A000614316;Responsabile dell'attività di intermediazione;
17339;A000140355;A000746903;Responsabile dell'attività di intermediazione;
17340;A000076126;A000308168;Responsabile dell'attività di intermediazione;
17341;A000287853;A000165009;Responsabile dell'attività di intermediazione;
17342;B000635281;B000642168;Responsabile dell'attività di intermediazione;
17343;B000097270;B000097220;Responsabile dell'attività di intermediazione;
17344;A000339384;A000751955;Responsabile dell'attività di intermediazione;
17345;B000141676;B000550010;Rappresentante Legale;
17346;A000353958;A000526711;Responsabile dell'attività di intermediazione;
17347;B000749272;B000754176;Responsabile dell'attività di intermediazione;
17348;A000107100;A000616213;Responsabile dell'attività di intermediazione;
17349;B000735206;B000676297;Responsabile dell'attività di intermediazione;
17350;A000128700;A000748579;Responsabile dell'attività di intermediazione;
17351;B000316972;B000269892;Responsabile dell'attività di intermediazione;
17352;B000636934;B000531028;Rappresentante Legale;
17353;B000749345;B000765175;Responsabile dell'attività di intermediazione;
17354;B000766493;B000548946;Responsabile dell'attività di intermediazione;
17355;A000077708;A000459897;Responsabile dell'attività di intermediazione;
17356;A000758365;A000759532;Responsabile dell'attività di intermediazione;
17357;A000158547;A000158548;Responsabile dell'attività di intermediazione;
17358;A000007537;A000314501;Responsabile dell'attività di intermediazione;
17359;B000751970;B000751971;Rappresentante Legale;
17360;B000799836;B000055861;Responsabile dell'attività di intermediazione;
17361;B000068425;B000629726;Responsabile dell'attività di intermediazione;
17362;B000068425;B000742733;Responsabile dell'attività di intermediazione;
17363;A000002331;A000050401;Responsabile dell'attività di intermediazione;
17364;A000752129;A000754423;Responsabile dell'attività di intermediazione;
17365;B000048363;B000014427;Responsabile dell'attività di intermediazione;
17366;B000054020;B000612637;Amministratore Delegato;
17367;A000062448;A000519079;Responsabile dell'attività di intermediazione;
17368;A000479847;A000753849;Responsabile dell'attività di intermediazione;
17369;A000051334;A000649016;Responsabile dell'attività di intermediazione;
17370;B000111355;B000155019;Responsabile dell'attività di intermediazione;
17371;B000111355;B000155019;Rappresentante Legale;
17372;A000064597;A000762807;Responsabile dell'attività di intermediazione;
17373;A000083286;A000324060;Responsabile dell'attività di intermediazione;
17374;A000083286;A000741715;Responsabile dell'attività di intermediazione;
17375;B000218740;B000668029;Amministratore Delegato;
17376;B000728381;B000728380;Direttore Generale;
17377;A000516681;A000522912;Responsabile dell'attività di intermediazione;
17378;A000076822;A000616085;Responsabile dell'attività di intermediazione;
17379;A000464537;A000401625;Responsabile dell'attività di intermediazione;
17380;A000753522;A000593521;Responsabile dell'attività di intermediazione;
17381;A000165014;A000163085;Responsabile dell'attività di intermediazione;
17382;A000119009;A000111507;Responsabile dell'attività di intermediazione;
17383;B000606560;B000462013;Responsabile dell'attività di intermediazione;
17384;A000759038;A000779993;Responsabile dell'attività di intermediazione;
17385;A000096688;A000671187;Responsabile dell'attività di intermediazione;
17386;A000514294;A000331422;Responsabile dell'attività di intermediazione;
17387;A000757372;A000534110;Responsabile dell'attività di intermediazione;
17388;A000760666;A000580537;Responsabile dell'attività di intermediazione;
17389;B000764324;B000709744;Responsabile dell'attività di intermediazione;
17390;A000104361;A000497940;Responsabile dell'attività di intermediazione;
17391;B000704626;B000487552;Rappresentante Legale;
17392;B000704626;B000049836;Rappresentante Legale;
17393;B000373188;B000051222;Responsabile dell'attività di intermediazione;
17394;B000715237;B000127422;Responsabile dell'attività di intermediazione;
17395;B000767945;B000667174;Responsabile dell'attività di intermediazione;
17396;B000768317;B000114899;Responsabile dell'attività di intermediazione;
17397;A000495872;A000794069;Responsabile dell'attività di intermediazione;
17398;A000009374;A000322597;Responsabile dell'attività di intermediazione;
17399;A000772350;A000813609;Responsabile dell'attività di intermediazione;
17400;B000567755;B000714748;Direttore Generale;
17401;B000770080;B000797510;Responsabile dell'attività di intermediazione;
17402;A000064584;A000392692;Responsabile dell'attività di intermediazione;
17403;A000099172;A000098950;Responsabile dell'attività di intermediazione;
17404;B000774738;B000673774;Responsabile dell'attività di intermediazione;
17405;A000614565;A000619692;Responsabile dell'attività di intermediazione;
17406;B000002387;B000691665;Rappresentante Legale;
17407;B000002387;B000784339;Responsabile dell'attività di intermediazione;
17408;B000002387;B000784339;Rappresentante Legale;
17409;A000168443;A000373252;Responsabile dell'attività di intermediazione;
17410;A000311249;A000781394;Responsabile dell'attività di intermediazione;
17411;B000118848;B000117871;Rappresentante Legale;
17412;B000118848;B000117871;Amministratore Delegato;
17413;A000127992;A000127997;Responsabile dell'attività di intermediazione;
17414;A000779199;A000078997;Responsabile dell'attività di intermediazione;
17415;B000784151;B000511867;Rappresentante Legale;
17416;B000457033;B000708457;Rappresentante Legale;
17417;A000786163;A000794503;Responsabile dell'attività di intermediazione;
17418;A000794369;A000800183;Responsabile dell'attività di intermediazione;
17419;A000186809;A000676797;Responsabile dell'attività di intermediazione;
17420;A000697858;A000511993;Responsabile dell'attività di intermediazione;
17421;A000178803;A000172855;Responsabile dell'attività di intermediazione;
17422;A000008190;A000511494;Responsabile dell'attività di intermediazione;
17423;A000010045;A000168777;Responsabile dell'attività di intermediazione;
17424;A000053545;A000666468;Responsabile dell'attività di intermediazione;
17425;A000068502;A000268831;Responsabile dell'attività di intermediazione;
17426;A000074157;A000179754;Responsabile dell'attività di intermediazione;
17427;A000079466;A000360234;Responsabile dell'attività di intermediazione;
17428;A000118174;A000583097;Responsabile dell'attività di intermediazione;
17429;A000186915;A000415980;Responsabile dell'attività di intermediazione;
17430;A000187433;A000165009;Responsabile dell'attività di intermediazione;
17431;A000190375;A000132745;Responsabile dell'attività di intermediazione;
17432;A000690905;A000659159;Responsabile dell'attività di intermediazione;
17433;A000700682;A000777177;Responsabile dell'attività di intermediazione;
17434;B000013646;B000123921;Rappresentante Legale;
17435;B000050377;B000447211;Rappresentante Legale;
17436;A000801780;A000111174;Responsabile dell'attività di intermediazione;
17437;A000060132;A000637817;Responsabile dell'attività di intermediazione;
17438;A000812685;A000312016;Responsabile dell'attività di intermediazione;
17439;B000073803;B000809341;Rappresentante Legale;
17440;B000135103;B000117871;Responsabile dell'attività di intermediazione;
17441;A000132438;A000735980;Responsabile dell'attività di intermediazione;
17442;A000028995;A000811965;Responsabile dell'attività di intermediazione;
17443;A000730083;A000732839;Responsabile dell'attività di intermediazione;
17444;B000007793;B000454768;Rappresentante Legale;
17445;A000142894;A000546993;Responsabile dell'attività di intermediazione;
17446;B000611521;B000705496;Responsabile dell'attività di intermediazione;
17447;A000181585;A000532059;Responsabile dell'attività di intermediazione;
17448;B000057712;B000061629;Rappresentante Legale;
17449;A000057169;A000229768;Responsabile dell'attività di intermediazione;
17450;A000066972;A000066959;Responsabile dell'attività di intermediazione;
17451;A000064260;A000223715;Responsabile dell'attività di intermediazione;
17452;A000059019;A000590922;Responsabile dell'attività di intermediazione;
17453;A000133330;A000519175;Responsabile dell'attività di intermediazione;
17454;A000048138;A000012961;Responsabile dell'attività di intermediazione;
17455;A000053102;A000053101;Responsabile dell'attività di intermediazione;
17456;A000143640;A000256262;Responsabile dell'attività di intermediazione;
17457;A000083743;A000583478;Responsabile dell'attività di intermediazione;
17458;A000114659;A000307968;Responsabile dell'attività di intermediazione;
17459;B000114063;B000014417;Responsabile dell'attività di intermediazione;
17460;A000116138;A000185617;Responsabile dell'attività di intermediazione;
17461;A000181626;A000652348;Responsabile dell'attività di intermediazione;
17462;A000085824;A000423855;Responsabile dell'attività di intermediazione;
17463;A000098376;A000342386;Responsabile dell'attività di intermediazione;
17464;A000417950;A000742007;Responsabile dell'attività di intermediazione;
17465;B000099854;B000592968;Rappresentante Legale;
17466;A000099867;A000103906;Responsabile dell'attività di intermediazione;
17467;A000117612;A000429196;Responsabile dell'attività di intermediazione;
17468;A000056864;A000532069;Responsabile dell'attività di intermediazione;
17469;A000170064;A000693618;Responsabile dell'attività di intermediazione;
17470;A000162951;A000454752;Responsabile dell'attività di intermediazione;
17471;B000054338;B000117871;Responsabile dell'attività di intermediazione;
17472;B000097091;B000540999;Responsabile dell'attività di intermediazione;
17473;A000077579;A000069778;Responsabile dell'attività di intermediazione;
17474;B000117503;B000128398;Responsabile dell'attività di intermediazione;
17475;B000101076;B000623875;Responsabile dell'attività di intermediazione;
17476;B000014197;B000117871;Responsabile dell'attività di intermediazione;
17477;B000013829;B000014314;Responsabile dell'attività di intermediazione;
17478;B000170234;B000514691;Rappresentante Legale;
17479;B000098700;B000197920;Amministratore Delegato;
17480;B000098700;B000197920;Rappresentante Legale;
17481;B000797055;B000117871;Responsabile dell'attività di intermediazione;
17482;A000170083;A000517355;Responsabile dell'attività di intermediazione;
17483;A000029824;A000431170;Responsabile dell'attività di intermediazione;
17484;B000663740;B000650836;Responsabile dell'attività di intermediazione;
17485;A000680806;A000335119;Responsabile dell'attività di intermediazione;
17486;A000081099;A000769244;Responsabile dell'attività di intermediazione;
17487;A000630685;A000229520;Responsabile dell'attività di intermediazione;
17488;B000013108;B000099633;Responsabile dell'attività di intermediazione;
17489;B000182036;B000477648;Responsabile dell'attività di intermediazione;
17490;B000069318;B000272492;Responsabile dell'attività di intermediazione;
17491;A000074653;A000745148;Responsabile dell'attività di intermediazione;
17492;B000011615;B000536513;Responsabile dell'attività di intermediazione;
17493;B000013959;B000014410;Responsabile dell'attività di intermediazione;
17494;B000013891;B000658212;Rappresentante Legale;
17495;A000129798;A000480066;Responsabile dell'attività di intermediazione;
17496;B000058527;B000430326;Rappresentante Legale;
17497;A000070258;A000075370;Responsabile dell'attività di intermediazione;
17498;B000037050;B000436000;Responsabile dell'attività di intermediazione;
17499;A000181016;A000181015;Responsabile dell'attività di intermediazione;
17500;A000121316;A000121264;Responsabile dell'attività di intermediazione;
17501;A000001289;A000451984;Responsabile dell'attività di intermediazione;
17502;A000000157;A000491425;Responsabile dell'attività di intermediazione;
17503;B000002706;B000689031;Responsabile dell'attività di intermediazione;
17504;A000055419;A000362124;Responsabile dell'attività di intermediazione;
17505;A000001232;A000462488;Responsabile dell'attività di intermediazione;
17506;A000001488;A000391600;Responsabile dell'attività di intermediazione;
17507;A000001116;A000449982;Responsabile dell'attività di intermediazione;
17508;A000003506;A000416540;Responsabile dell'attività di intermediazione;
17509;A000118075;A000683084;Responsabile dell'attività di intermediazione;
17510;A000004258;A000415734;Responsabile dell'attività di intermediazione;
17511;A000004715;A000462193;Responsabile dell'attività di intermediazione;
17512;A000074075;A000751946;Responsabile dell'attività di intermediazione;
17513;A000488152;A000488161;Responsabile dell'attività di intermediazione;
17514;B000513580;B000550969;Responsabile dell'attività di intermediazione;
17515;A000001417;A000610525;Responsabile dell'attività di intermediazione;
17516;A000002845;A000728468;Responsabile dell'attività di intermediazione;
17517;A000674627;A000675191;Responsabile dell'attività di intermediazione;
17518;A000708488;A000775075;Responsabile dell'attività di intermediazione;
17519;A000064210;A000064209;Responsabile dell'attività di intermediazione;
17520;A000006242;A000012574;Responsabile dell'attività di intermediazione;
17521;A000006244;A000356606;Responsabile dell'attività di intermediazione;
17522;A000148361;A000335532;Responsabile dell'attività di intermediazione;
17523;A000002090;A000436275;Responsabile dell'attività di intermediazione;
17524;A000080170;A000696087;Responsabile dell'attività di intermediazione;
17525;A000131257;A000464750;Responsabile dell'attività di intermediazione;
17526;A000375424;A000569979;Responsabile dell'attività di intermediazione;
17527;A000063263;A000428104;Responsabile dell'attività di intermediazione;
17528;A000006374;A000722102;Responsabile dell'attività di intermediazione;
17529;A000004821;A000675880;Responsabile dell'attività di intermediazione;
17530;A000079458;A000569616;Responsabile dell'attività di intermediazione;
17531;A000007329;A000693738;Responsabile dell'attività di intermediazione;
17532;B000057525;B000158188;Rappresentante Legale;
17533;A000007925;A000653337;Responsabile dell'attività di intermediazione;
17534;A000008225;A000059990;Responsabile dell'attività di intermediazione;
17535;A000124273;A000271741;Responsabile dell'attività di intermediazione;
17536;A000172689;A000393217;Responsabile dell'attività di intermediazione;
17537;A000007409;A000111047;Responsabile dell'attività di intermediazione;
17538;A000603665;A000788794;Responsabile dell'attività di intermediazione;
17539;A000126669;A000772895;Responsabile dell'attività di intermediazione;
17540;A000201203;A000775041;Responsabile dell'attività di intermediazione;
17541;B000070512;B000748642;Responsabile dell'attività di intermediazione;
17542;A000154571;A000460026;Responsabile dell'attività di intermediazione;
17543;B000188827;B000792457;Rappresentante Legale;
17544;A000616466;A000618357;Responsabile dell'attività di intermediazione;
17545;A000029969;A000012111;Responsabile dell'attività di intermediazione;
17546;B000126762;B000369442;Responsabile dell'attività di intermediazione;
17547;B000086105;B000400942;Responsabile dell'attività di intermediazione;
17548;B000132805;B000445056;Responsabile dell'attività di intermediazione;
17549;A000635272;A000810017;Responsabile dell'attività di intermediazione;
17550;B000031572;B000117871;Responsabile dell'attività di intermediazione;
17551;A000108788;A000108787;Responsabile dell'attività di intermediazione;
17552;A000282219;A000072848;Responsabile dell'attività di intermediazione;
17553;B000157755;B000054364;Responsabile dell'attività di intermediazione;
17554;B000147007;B000385484;Responsabile dell'attività di intermediazione;
17555;B000053779;B000014365;Responsabile dell'attività di intermediazione;
17556;A000147584;A000347857;Responsabile dell'attività di intermediazione;
17557;A000066646;A000066645;Responsabile dell'attività di intermediazione;
17558;A000191037;A000450050;Responsabile dell'attività di intermediazione;
17559;A000107830;A000430842;Responsabile dell'attività di intermediazione;
17560;B000205553;B000052173;Responsabile dell'attività di intermediazione;
17561;B000082768;B000197920;Rappresentante Legale;
17562;A000114774;A000273298;Responsabile dell'attività di intermediazione;
17563;B000217918;B000790674;Rappresentante Legale;
17564;A000263264;A000011693;Responsabile dell'attività di intermediazione;
17565;A000282961;A000061515;Responsabile dell'attività di intermediazione;
17566;B000329757;B000691461;Responsabile dell'attività di intermediazione;
17567;A000330688;A000788777;Responsabile dell'attività di intermediazione;
17568;A000330756;A000754383;Responsabile dell'attività di intermediazione;
17569;A000133234;A000443984;Responsabile dell'attività di intermediazione;
17570;A000086503;A000086502;Responsabile dell'attività di intermediazione;
17571;A000181676;A000172608;Responsabile dell'attività di intermediazione;
17572;A000117070;A000117072;Responsabile dell'attività di intermediazione;
17573;A000066406;A000064226;Responsabile dell'attività di intermediazione;
17574;A000119229;A000658283;Responsabile dell'attività di intermediazione;
17575;A000069427;A000066639;Responsabile dell'attività di intermediazione;
17576;A000009972;A000013018;Responsabile dell'attività di intermediazione;
17577;A000009973;A000013018;Responsabile dell'attività di intermediazione;
17578;A000069101;A000123957;Responsabile dell'attività di intermediazione;
17579;A000100581;A000573705;Responsabile dell'attività di intermediazione;
17580;A000141680;A000187296;Responsabile dell'attività di intermediazione;
17581;A000141681;A000187296;Responsabile dell'attività di intermediazione;
17582;A000126757;A000758295;Responsabile dell'attività di intermediazione;
17583;A000063340;A000063322;Responsabile dell'attività di intermediazione;
17584;A000114010;A000651246;Responsabile dell'attività di intermediazione;
17585;A000084112;A000590925;Responsabile dell'attività di intermediazione;
17586;A000163480;A000759490;Responsabile dell'attività di intermediazione;
17587;A000064550;A000750836;Responsabile dell'attività di intermediazione;
17588;A000075497;A000190079;Responsabile dell'attività di intermediazione;
17589;A000068705;A000070842;Responsabile dell'attività di intermediazione;
17590;A000068808;A000072473;Responsabile dell'attività di intermediazione;
17591;A000181660;A000181343;Responsabile dell'attività di intermediazione;
17592;B000180981;B000620030;Responsabile dell'attività di intermediazione;
17593;A000082900;A000082856;Responsabile dell'attività di intermediazione;
17594;A000118992;A000098673;Responsabile dell'attività di intermediazione;
17595;A000009954;A000013005;Responsabile dell'attività di intermediazione;
17596;A000083850;A000343101;Responsabile dell'attività di intermediazione;
17597;A000099566;A000098318;Responsabile dell'attività di intermediazione;
17598;A000075730;A000076925;Responsabile dell'attività di intermediazione;
17599;A000063349;A000556464;Responsabile dell'attività di intermediazione;
17600;A000114992;A000701666;Responsabile dell'attività di intermediazione;
17601;A000169714;A000400366;Responsabile dell'attività di intermediazione;
17602;A000096677;A000096641;Responsabile dell'attività di intermediazione;
17603;A000085675;A000118207;Responsabile dell'attività di intermediazione;
17604;A000119010;A000751001;Responsabile dell'attività di intermediazione;
17605;A000119010;A000790867;Responsabile dell'attività di intermediazione;
17606;A000119024;A000119308;Responsabile dell'attività di intermediazione;
17607;A000181320;A000619692;Responsabile dell'attività di intermediazione;
17608;A000188304;A000735087;Responsabile dell'attività di intermediazione;
17609;A000170057;A000168542;Responsabile dell'attività di intermediazione;
17610;A000170059;A000802681;Responsabile dell'attività di intermediazione;
17611;A000116260;A000188507;Responsabile dell'attività di intermediazione;
17612;A000158729;A000158713;Responsabile dell'attività di intermediazione;
17613;A000164950;A000142856;Responsabile dell'attività di intermediazione;
17614;A000117377;A000388617;Responsabile dell'attività di intermediazione;
17615;A000053114;A000639989;Responsabile dell'attività di intermediazione;
17616;A000116327;A000318349;Responsabile dell'attività di intermediazione;
17617;A000065191;A000090343;Responsabile dell'attività di intermediazione;
17618;A000115260;A000117705;Responsabile dell'attività di intermediazione;
17619;A000111385;A000547009;Responsabile dell'attività di intermediazione;
17620;A000138098;A000780180;Responsabile dell'attività di intermediazione;
17621;A000186846;A000172829;Responsabile dell'attività di intermediazione;
17622;A000117277;A000648978;Responsabile dell'attività di intermediazione;
17623;A000116703;A000116646;Responsabile dell'attività di intermediazione;
17624;A000097338;A000086547;Responsabile dell'attività di intermediazione;
17625;A000097369;A000079814;Responsabile dell'attività di intermediazione;
17626;A000097404;A000347797;Responsabile dell'attività di intermediazione;
17627;A000117326;A000587611;Responsabile dell'attività di intermediazione;
17628;A000168606;A000180914;Responsabile dell'attività di intermediazione;
17629;B000619232;B000318995;Responsabile dell'attività di intermediazione;
17630;A000062396;A000060814;Responsabile dell'attività di intermediazione;
17631;A000075878;A000329739;Responsabile dell'attività di intermediazione;
17632;A000054246;A000058851;Responsabile dell'attività di intermediazione;
17633;A000085359;A000403640;Responsabile dell'attività di intermediazione;
17634;A000188288;A000061515;Responsabile dell'attività di intermediazione;
17635;A000174126;A000174116;Responsabile dell'attività di intermediazione;
17636;A000064636;A000066645;Responsabile dell'attività di intermediazione;
17637;A000068958;A000393173;Responsabile dell'attività di intermediazione;
17638;A000066153;A000539779;Responsabile dell'attività di intermediazione;
17639;A000066214;A000241793;Responsabile dell'attività di intermediazione;
17640;A000134281;A000519335;Responsabile dell'attività di intermediazione;
17641;A000099993;A000319874;Responsabile dell'attività di intermediazione;
17642;A000083706;A000084078;Responsabile dell'attività di intermediazione;
17643;A000169230;A000184425;Responsabile dell'attività di intermediazione;
17644;A000119381;A000099697;Responsabile dell'attività di intermediazione;
17645;A000116771;A000491173;Responsabile dell'attività di intermediazione;
17646;A000145148;A000141535;Responsabile dell'attività di intermediazione;
17647;A000097285;A000750939;Responsabile dell'attività di intermediazione;
17648;A000117693;A000694092;Responsabile dell'attività di intermediazione;
17649;A000100784;A000193152;Responsabile dell'attività di intermediazione;
17650;A000181791;A000180948;Responsabile dell'attività di intermediazione;
17651;A000187412;A000710348;Responsabile dell'attività di intermediazione;
17652;A000128524;A000271563;Responsabile dell'attività di intermediazione;
17653;A000082807;A000437798;Responsabile dell'attività di intermediazione;
17654;B000134243;B000530917;Rappresentante Legale;
17655;A000115054;A000097423;Responsabile dell'attività di intermediazione;
17656;A000133773;A000132020;Responsabile dell'attività di intermediazione;
17657;A000082066;A000118060;Responsabile dell'attività di intermediazione;
17658;A000722206;A000061289;Responsabile dell'attività di intermediazione;
17659;A000217628;A000187779;Responsabile dell'attività di intermediazione;
